id,title,what,when_time,when_day,who,how_time,where,parent_id,image,detail
144,バド部、たこ焼きを売る。,バド部、たこ焼きを売る。,10:00,"25,26,27",バドミントン部,12時間,東3号館前,106,./data/img/32_e3.png,
145,とり天,とり天,10:00,"25,26,27",フットサル愛好会GEEK,12時間,東3号館前,106,./data/img/32_e3.png,
146,れんれんのチューチューチュロス,れんれんのチューチューチュロス,10:00,"25,26,27",フットサル愛好会GEEK2年有志,12時間,東3号館前,106,./data/img/32_e3.png,
147,八雲台,"八雲台,スペアリブ",10:00,"25,26,27",フットサルOB有志,12時間,東3号館前,106,./data/img/32_e3.png,
148,It's a TACOS!,"It's a TACOS!,タコス",10:00,"25,26,27",軟式庭球部,12時間,東3号館前,106,./data/img/32_e3.png,
149,炭火焼フランクフルト,炭火焼フランクフルト,10:00,"25,26,27",体育会卓球部,12時間,東3号館前,106,./data/img/32_e3.png,
150,下条・明研のにっこにこアメ工場,"下条・明研のにっこにこアメ工場,りんごあめ、わたあめ",10:00,"25,26,27",下条・明研究室,12時間,東3号館前,106,./data/img/32_e3.png,
151,餃子のATT,餃子のATT,10:00,"25,26,27",ATT,12時間,東3号館前,106,./data/img/32_e3.png,
152,射的,射的,10:00,"25,26,27",少林寺拳法部,12時間,東3号館前,106,./data/img/32_e3.png,
153,エバルーンゲリオン：波,エバルーンゲリオン：波.バルーンアートショップ,10:00,"25,26,27",Passage,12時間,東3号館前,106,./data/img/32_e3.png,
155,64有志,"64有志,モダン焼き",10:00,"25,26,27",第64回調布祭実行委員会,12時間,東35号館前,106,./data/img/33_e35_w.png,
156,焼き鳥倶楽部（ヤキトリクラブ）,"焼き鳥倶楽部（ヤキトリクラブ）,やきとり,焼きとり",10:00,"25,26,27",キネマクラブ,12時間,東35号館前,106,./data/img/33_e35_w.png,
158,激安の王道　焼き鳥サイクリング部,"激安の王道　焼き鳥サイクリング部,やきとり,焼きとり",10:00,"25,26,27",サイクリング部,12時間,西地区,106,./data/img/33_e35_w.png,
159,ワンゲルのおいしい焼きとうもろこし屋さん,ワンゲルのおいしい焼きとうもろこし屋さん,10:00,"25,26,27",ワンダーフォーゲル部,12時間,西地区,106,./data/img/33_e35_w.png,
160,つくね汁屋さん,つくね汁屋さん,10:00,"25,26,27",古典ギター部,12時間,西地区,106,./data/img/33_e35_w.png,
161,つながり大作戦の牛タンつくね串,つながり大作戦の牛タンつくね串,10:00,"25,26,27",つながり大作戦,12時間,西地区,106,./data/img/33_e35_w.png,
162,ちゃろす,"ちゃろす,チュロス",10:00,"25,26,27",CHURROS,12時間,西地区,106,./data/img/33_e35_w.png,
163,あいきどう☆くれーぷ,"あいきどう☆くれーぷ,クレープ",10:00,"25,26,27",電気通信大学合気道部,12時間,西地区,106,./data/img/33_e35_w.png,
164,空手道部パンケーキ屋,空手道部パンケーキ屋,10:00,"25,26,27",電気通信大学空手道部,12時間,西地区,106,./data/img/33_e35_w.png,
165,弓道部,"弓道部,お好み焼き",10:00,"25,26,27",CHIRI's キッチン,12時間,西地区,106,./data/img/33_e35_w.png,
166,大サンマ祭,大サンマ祭,10:00,"25,26,27",スポーツチャンバラ同好会,12時間,西地区,106,./data/img/33_e35_w.png,
167,じゃんく市,じゃんく市,10:00,"25,26,27",MMA,12時間,A棟101号室,106,./data/img/34_a.png,
168,写真研究部調布祭写真展,写真研究部調布祭写真展,10:00,"25,26,27",写真研究部,12時間,A棟102号室,106,./data/img/34_a.png,
169,ジャズ喫茶『FAT's WALK』,ジャズ喫茶『FAT's WALK』,10:00,"25,26,27",モダンジャズ研究会,12時間,A棟201号室,106,./data/img/34_a.png,
170,電通大生オンリー同人誌即売会 UEComic!5,電通大生オンリー同人誌即売会 UEComic!5,10:00,"25,26,27",UEComic！準備会,12時間,A棟202号室,106,./data/img/34_a.png,
171,模型展示会,模型展示会,10:00,"25,26,27",模型研究会,12時間,A棟301号室,106,./data/img/34_a.png,
172,模型作品展示会,模型作品展示会,10:00,"25,26,27",模型研究会OB会,12時間,A棟302号室,106,./data/img/34_a.png,
173,ESS,ESS,10:00,"25,26,27",英会話部,12時間,A棟303号室,106,./data/img/34_a.png,
174,漫画アニメーション研究会,漫画アニメーション研究会,10:00,"25,26,27",漫画アニメーション研究会,12時間,A棟401号室,106,./data/img/34_a.png,
175,非電源ゲーム研究会,非電源ゲーム研究会,10:00,"25,26,27",非電源ゲーム研究会,12時間,A棟402号室,106,./data/img/34_a.png,
176,SF-Z会,SF-Z会,10:00,"25,26,27",SF-Z会,12時間,A棟403号室,106,./data/img/34_a.png,
177,internatinal Village,internatinal Village,10:00,"25,26,27",国際交流会ICES,12時間,旧C棟ロビー,106,./data/img/35_old_c.png,
178,U.E.C.wings広報室,U.E.C.wings広報室,10:00,"25,26,27",U.E.C.wings広報室,12時間,旧C棟201号室,106,./data/img/35_old_c.png,
179,軽音楽部,軽音楽部,10:00,"25,26,27",軽音楽部,12時間,旧C棟301号室,106,./data/img/35_old_c.png,
180,番組発表会,番組発表会,10:00,"25,26,27",電気通信大学放送研究会,12時間,新C棟303号室,106,./data/img/36_new_c.png,
181,電気通信大学X680ｘ0同好会,電気通信大学X680ｘ0同好会,10:00,"25,26,27",電気通信大学X680ｘ0同好会,12時間,新C棟403号室,106,./data/img/36_new_c.png,
182,書展,"書展,書道部",10:00,"25,26,27",書Do！部,12時間,東1号館810号室,106,./data/img/37_e1.png,
183,プラネタリウム,プラネタリウム,10:00,"25,26,27",天文部,12時間,東1号館806号室,106,./data/img/37_e1.png,
184,対局場,対局場,10:00,"25,26,27",囲碁・将棋部,12時間,東1号館606号室,106,./data/img/37_e1.png,
185,UECポケモンだいすきクラブ2015,UECポケモンだいすきクラブ2015,10:00,"25,26,27",UECポケモンだいすきクラブ,12時間,東3号館301号室,106,./data/img/39_etc.png,
186,フォークソング部学祭ライブ,フォークソング部学祭ライブ,10:00,"25,26,27",フォークソング部,12時間,第二体育館,106,./data/img/39_etc.png,
187,工学研究部,工学研究部,10:00,"25,26,27",工学研究部,12時間,西2号館101号室,106,./data/img/38_w2.png,
188,アンサンブル喫茶,アンサンブル喫茶,10:00,"25,26,27",電気通信大学管弦楽部,12時間,西2号館105号室,106,./data/img/38_w2.png,
189,TeRes,TeRes,10:00,"25,26,27",TeRes,12時間,西2号館B105号室,106,./data/img/38_w2.png,
190,鉄道研究会展示,鉄道研究会展示,10:00,"25,26,27",鉄道研究会,12時間,西2号館B101号室,106,./data/img/38_w2.png,
191,UECART,UECART,10:00,"25,26,27",美術部,12時間,西2号館B106号室,106,./data/img/38_w2.png,
192,器楽部　調布祭Live!,器楽部　調布祭Live!,10:00,"25,26,27",器楽部,12時間,課外活動施設2階音楽練習室,106,./data/img/39_etc.png,
193,Streat Dance,Streat Dance,10:00,"25,26,27",Streat Dance同好会,12時間,課外活動施設3階集会室,106,./data/img/39_etc.png,
194,調布祭コンサート,調布祭コンサート,10:00,"25,26,27",電気通信大学シンセデザイン研究部,12時間,大学会館4階,106,./data/img/39_etc.png,
195,総合情報学科での取り組み,"総合情報学科での取り組み,説明会",9:00,25,戸村,1時間,講堂,,,
196,総合情報学科の計算機設備について,"総合情報学科の計算機設備について,説明会",11:00,25,戸村,1時間30分,B棟-202,,,
197,総合情報学科の研究室紹介,"総合情報学科の研究室紹介,説明会",14:00,25,戸村,2時間,B棟-201,,,
198,総合情報学科の特徴について,"総合情報学科の特徴について,説明会",17:00,25,戸村,2時間,B棟-202,,,
199,総合情報学科の就職率と行き先について,"総合情報学科の就職率と行き先について,説明会",10:00,26,戸村,2時間,B棟-201,,,
200,総合情報学科で取得できる資格について,"総合情報学科で取得できる資格について,説明会",13:00,26,戸村,2時間,B棟-202,,,
201,総合情報学科の担当教員からの説明,"総合情報学科の担当教員からの説明,説明会",16:00,26,戸村,1時間,B棟-201,,,
202,学生による質問相談会,学生による質問相談会,17:00,26,戸村,1時間,B棟-1階広間,,,
203,先進理工学科の取り組みについて,"先進理工学科の取り組みについて,説明会",10:00,25,坂田,2時間,B棟-101,,,
204,先進理工学科の授業カリキュラムについて,"先進理工学科の授業カリキュラムについて,説明会",15:00,25,坂田,2時間,B棟-101,,,
205,先進理工学科の就職率について,"先進理工学科の就職率について,説明会",11:00,26,坂田,2時間,B棟-101,,,
206,先進理工学科教員による研究室紹介,"先進理工学科教員による研究室紹介,研究室紹介",16:00,26,坂田,2時間,東3号館-301,,,
207,知能機械工学科の取り組みについて,"知能機械工学科の取り組みについて,説明会",10:00,25,戸高,1時間,A棟-101,,,
208,知能機械工学科の授業カリキュラムについて,"知能機械工学科の授業カリキュラムについて,説明会",11:00,25,戸高,1時間,A棟-101,,,
209,知能機械工学科の就職率について,"知能機械工学科の就職率について,説明会",12:00,25,戸高,1時間,A棟-101,,,
210,在学学生による研究室見学会,"在学学生による研究室見学会,研究室見学会",14:00,25,戸高,3時間,西10号館-101,,,
211,知能機械工学科の就職率について,"知能機械工学科の就職率について,説明会",10:00,26,戸高,2時間,A棟-101,,,
212,在学学生による研究室見学会,"在学学生による研究室見学会,説明会",13:00,26,戸高,2時間,A棟-101,,,
213,知能機械工学科のこれからの取り組みについて,"知能機械工学科のこれからの取り組みについて,説明会",17:00,26,戸高,2時間,A棟-101,,,
214,情報通信工学科の取り組みについて,"情報通信工学科の取り組みについて,説明会",10:00,25,渋谷,1時間,A棟-201,,,
215,在学学生による質問相談会,"在学学生による質問相談会,質問相談会",12:00,25,渋谷,2時間,B棟-1階広間,,,
216,情報通信工学科の授業カリキュラムについて,"情報通信工学科の授業カリキュラムについて,説明会",14:00,25,渋谷,2時間,A棟-201,,,
217,情報通信工学科の就職率について,"情報通信工学科の就職率について,説明会",10:00,26,渋谷,2時間,A棟-201,,,
218,在学学生による研究室紹介,"在学学生による研究室紹介,研究室紹介",12:00,26,渋谷,2時間,A棟-201,,,
219,情報通信工学科の１年間の流れについて,"情報通信工学科の１年間の流れについて,説明会",14:00,26,渋谷,2時間,A棟-201,,,
220,西野研研究室公開,"西野研研究室公開, 自然言語処理,ゲーム情報学,大貧民,大富豪,UECda,Watson,人工知能",10:00,25,西野,6時間,東3号館-807,,./data/img/op_tnlab.png,
221,電気通信大学全体MAP,"電気通信大学全体MAP,案内所,ゴミステーション,ごみ捨て場,駐輪場,自転車置場,公衆電話,喫煙所,緊急避難場所,青空劇場,C棟前ステージ,丸調本部",10:00,"25,26,27",丸調本部,12時間,電気通信大学,,./data/img/01_map.png,
222,総合情報学科研究室公開,"総合情報学科研究室公開,総合情報学専攻,情報メディア,経営工学,情報セキュリティ,メディア情報学,経営情報学,セキュリティ情報学,専門コース,映像,音声,触感,情報処理,五感メディア,社会的メディア,経営科学,経営工学,数理,人間,企業のマネジメントシステム,情報システム,開発,運用,安全な社会,コンピュータ,ハードウェア,ソフトウェア,ネットワーク,個人情報,著作権,情報処理,保護対策技術",11:30,27,総合情報学科,4時間30分,総合情報学科各研究室,59,,
223,吉浦・市野研研究室公開,"吉浦・市野研研究室公開,情報セキュリティ,Twitter,Facebook,YouTube,問題発言,暗号,ビッグデータ,プライバシー保護,クラウドシステム,秘密計算,ウィルス,虹彩,声紋,生体情報,セキュリティ情報学",11:30,27,"吉浦,市野",4時間30分,西6号館601号室,222,./data/img/41_op_yoshiura.png,
224,﨑山研研究室公開,"﨑山研研究室公開,崎山,セキュリティ情報学,暗号理論,暗号実装,セキュリティシステム,サイバーフィジカルシステム,認証システム,ハードウェア,攻撃対策,サイドチャネル解析,人工物メトリクス",11:30,27,﨑山,4時間30分,東3号館718号室,222,./data/img/42_op_sakiyama.png,
225,市川研研究室公開,"市川研研究室公開,ワイヤレスセンサ,ネットワーキング,ネットワークアーキテクチャ",11:30,27,市川,4時間30分,西3号館215号室,222,./data/img/43_op_ichikawa.png,
226,松本研研究室公開,"松本研研究室公開,共生,ロボットテクノロジー,知覚情報処理,知能ロボティクス,画像処理,音響処理,五感,興味,愛情,情動,コミュニケーション",11:30,27,松本,4時間30分,西3号館405号室,222,./data/img/44_op_matsumoto.png,
227,川喜田研研究室公開,"川喜田研研究室公開,生活空間,エネルギー,発電,無線センサ,センシング,プラットフォーム",11:30,27,川喜田,4時間30分,西3号館215号室,222,./data/img/45_op_kawakita.png,
228,太田・岩本研研究室公開,"太田・岩本研研究室公開,情報セキュリティシステム,理論,プロトコルの安全性評価,ハッシュ関数,暗号プロトコル,公開鍵暗号,電子署名,秘密分散法,電子オークション,電子マネー,電子投票,アルゴリズム設計",11:30,27,"太田,岩本",4時間30分,東3号館720号室,222,./data/img/46_op_ota.png,
229,柏原研研究室公開,"柏原研研究室公開,教育環境の創造,研究活動支援,体験増幅支援,Web調べ学習,疑似力覚,知識構築システム,プレゼンテーションドキュメント,フィールドトリップ型体験学習",11:30,27,柏原,4時間30分,西3号館303号室,222,./data/img/47_op_kashiwabara.png,
230,学内MAP,"学内MAP,地図,西,東,号館,トイレ,学食,食堂,体育館,講堂,棟,図書館,事務室,入試課",10:00,"25,26,27",電気通信大学,12時間,電気通信大学,,./data/img/99_map.gif,
